td_number_and_name;basic_udi_di;dmids_no;article_number;product_group;product_name;udi_single_unit;udi_ve;mdr_code;risk_class;classification_rule;gmdn;umdns_code;emdn;certification_no;packaging_unit_ve;material;surface_info;iso_code;first_placing_on_market_date;legacy_device
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00138115;50141;Softy-longlife;Crown Cutter SOFTY-longlife HP;04057176223944;04057176223944;MDN 1208;Klasse lla;Regel 5.4;16670;11-282;Q010199;0297/170765128;1;steel 1.4035, sintered diamond;ISO adapter, smooth, medium;807 104 345 523 100;2006-07-10;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00138115;50143;Softy-longlife;Crown Cutter SOFTY-longlife HP;04057176223951;04057176223951;MDN 1208;Klasse lla;Regel 5.4;16670;11-282;Q010199;0297/170765128;1;steel 1.4035, sintered diamond;ISO adapter, smooth, medium;807 104 345 523 090;2006-07-10;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00138115;50145;Softy-longlife;Crown Cutter SOFTY-longlife HP;04057176224026;04057176224026;MDN 1208;Klasse lla;Regel 5.4;16670;11-282;Q010199;0297/170765128;1;steel 1.4035, sintered diamond;ISO adapter, smooth, medium;807 104 345 523 120;2014-07-03;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00138115;51141;Softy-longlife;Crown Cutter SOFTY-longlife CA;04057176223968;04057176223968;MDN 1208;Klasse lla;Regel 5.4;16670;11-282;Q010199;0297/170765128;1;steel 1.4035, sintered diamond;ISO adapter, smooth, medium;807 204 345 523 100;2006-07-10;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00138115;51143;Softy-longlife;Crown Cutter SOFTY-longlife CA;04057176223975;04057176223975;MDN 1208;Klasse lla;Regel 5.4;16670;11-282;Q010199;0297/170765128;1;steel 1.4035, sintered diamond;ISO adapter, smooth, medium;807 204 345 523 090;2006-07-10;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00138115;51145;Softy-longlife;Crown Cutter SOFTY-longlife CA;04057176224019;04057176224019;MDN 1208;Klasse lla;Regel 5.4;16670;11-282;Q010199;0297/170765128;1;steel 1.4035, sintered diamond;ISO adapter, smooth, medium;807 204 345 523 120;2014-07-03;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00024855;101212;Carbide burs;Crown cutter 21X FG 1,2 mm;04057176239747;04057176239754;MDN 1208;Klasse lla;Regel 5.4;16668;16-668;Q010199;0297/170765128;2;carbide (K15-K40);ISO adapter, smooth, blade, finishing bur toothing, medium, x-cut;500 314 107 080 010;2023-09-07;
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00024855;102008;Carbide burs;Carbide 7 FG short 0,8 mm;04057176228529;04057176228536;MDN 1208;Klasse lla;Regel 5.4;16668;16-668;Q010199;0297/170765128;6;steel 1.4035, silver brazing alloy, carbide (K15-K40);ISO adapter, smooth, blade, bur toothing, right helicoidal;500 313 237 006 008;2011-11-02;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00024855;102108;Carbide burs;Carbide 7 FG 0,8 mm;04057176228468;04057176228475;MDN 1208;Klasse lla;Regel 5.4;16668;16-668;Q010199;0297/170765128;6;steel 1.4035, silver brazing alloy, carbide (K15-K40);ISO adapter, smooth, blade, bur toothing, right helicoidal;500 314 237 006 008;2011-11-02;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00024855;102110;Carbide burs;Carbide 7 FG 1,0 mm;04057176228482;04057176228499;MDN 1208;Klasse lla;Regel 5.4;16668;16-668;Q010199;0297/170765128;6;steel 1.4035, silver brazing alloy, carbide (K15-K40);ISO adapter, smooth, blade, bur toothing, right helicoidal;500 314 237 006 010;2011-11-02;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00024855;102112;Carbide burs;Carbide 7 FG 1,2 mm;04057176228505;04057176228512;MDN 1208;Klasse lla;Regel 5.4;16668;16-668;Q010199;0297/170765128;6;steel 1.4035, silver brazing alloy, carbide (K15-K40);ISO adapter, smooth, blade, bur toothing, right helicoidal;500 314 237 006 012;2011-11-02;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00024855;102208;Carbide burs;Carbide 7 CA 0,8 mm;04057176225108;04057176225115;MDN 1208;Klasse lla;Regel 5.4;16668;16-668;Q010199;0297/170765128;6;steel 1.4035, silver brazing alloy, carbide (K15-K40);ISO adapter, smooth, blade, bur toothing, right helicoidal;500 204 237 006 008;2011-11-02;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00024855;102309;Carbide burs;Carbide 21 FG 0,9 mm;04057176228543;04057176228550;MDN 1208;Klasse lla;Regel 5.4;16668;16-668;Q010199;0297/170765128;6;steel 1.4035, silver brazing alloy, carbide (K15-K40);ISO adapter, smooth, blade, bur toothing, right helicoidal;500 314 107 006 009;2011-11-04;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00024855;102310;Carbide burs;Carbide 21 FG 1,0 mm;04057176228567;04057176228574;MDN 1208;Klasse lla;Regel 5.4;16668;16-668;Q010199;0297/170765128;6;steel 1.4035, silver brazing alloy, carbide (K15-K40);ISO adapter, smooth, blade, bur toothing, right helicoidal;500 314 107 006 010;2011-11-04;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00024855;102312;Carbide burs;Carbide 21 FG 1,2 mm;04057176228581;04057176228598;MDN 1208;Klasse lla;Regel 5.4;16668;16-668;Q010199;0297/170765128;6;steel 1.4035, silver brazing alloy, carbide (K15-K40);ISO adapter, smooth, blade, bur toothing, right helicoidal;500 314 107 006 012;2011-11-04;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00024855;102314;Carbide burs;Carbide 21 FG 1,4 mm;04057176228604;04057176228611;MDN 1208;Klasse lla;Regel 5.4;16668;16-668;Q010199;0297/170765128;6;steel 1.4035, silver brazing alloy, carbide (K15-K40);ISO adapter, smooth, blade, bur toothing, right helicoidal;500 314 107 006 014;2011-11-04;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00024855;102316;Carbide burs;Carbide 21 FG 1,6 mm;04057176228628;04057176228635;MDN 1208;Klasse lla;Regel 5.4;16668;16-668;Q010199;0297/170765128;6;carbide (K15-K40);ISO adapter, smooth, blade, bur toothing, right helicoidal;500 314 107 006 016;2011-11-04;X
MDR-TD1 - rot. Dentalinstrumente;4057176RotariesX7;DE/CA61/00024855;102409;Carbide burs;Carbide 21 CA 0,9 mm;04057176225122;04057176225139;MDN 1208;Klasse lla;Regel 5.4;16668;16-668;Q010199;0297/170765128;6;steel 1.4035, silver brazing alloy, carbide (K15-K40);ISO adapter, smooth, blade, bur toothing, right helicoidal;500 204 107 006 009;2011-11-04;X
